Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Stephania,2021-10-09 23:20:18,00:52:33,Autoplayed: user action: None; ,Desaparecido para Sempre: Minissérie: Fred (Episódio 5),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:52:38,00:52:38,BR (Brazil)
Stephania,2021-10-09 22:29:59,00:50:16,,Desaparecido para Sempre: Minissérie: Nora (Episódio 4),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:50:21,00:50:21,BR (Brazil)
Stephania,2021-10-09 21:45:51,00:44:06,,Desaparecido para Sempre: Minissérie: Daco (Episódio 3),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:44:11,00:44:11,BR (Brazil)
Stephania,2021-10-09 20:33:18,00:46:55,Autoplayed: user action: User_Interaction; ,Desaparecido para Sempre: Minissérie: Inès (Episódio 2),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:47:00,00:47:00,BR (Brazil)
Stephania,2021-10-09 19:45:12,00:41:20,Autoplayed: user action: User_Interaction; ,Desaparecido para Sempre: Minissérie: Guillaume (Episódio 1),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:41:20,00:41:20,BR (Brazil)
Stephania,2021-10-09 17:12:52,00:01:02,Autoplayed: user action: None; ,Minissérie (Clipe): Maid,HOOK,LG LG 2017 MStar M2R Standard DTV Smart TV,00:01:02,00:01:02,BR (Brazil)
Stephania,2021-10-09 16:36:17,00:36:22,,On My Block: Temporada 4: Capítulo final (Episódio 10),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:36:27,00:36:27,BR (Brazil)
Stephania,2021-10-09 16:06:38,00:29:37,,On My Block: Temporada 4: Capítulo trinta e sete (Episódio 9),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:29:42,00:29:42,BR (Brazil)
Stephania,2021-10-09 15:38:46,00:23:47,Autoplayed: user action: User_Interaction; ,On My Block: Temporada 4: Capítulo trinta e seis (Episódio 8),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:23:47,00:23:47,BR (Brazil)
Stephania,2021-10-09 15:38:04,00:00:33,Autoplayed: user action: None; ,"Temporada 1 (Trailer): Apesar de Tudo, Amor",TRAILER,LG LG 2017 MStar M2R Standard DTV Smart TV,00:00:33,00:00:33,BR (Brazil)
Stephania,2021-10-09 01:13:43,00:00:07,Autoplayed: user action: None; ,On My Block: Temporada 4: Capítulo trinta e seis (Episódio 8),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:00:12,Not latest view,BR (Brazil)
Stephania,2021-10-09 00:41:44,00:31:58,,On My Block: Temporada 4: Capítulo trinta e cinco (Episódio 7),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:32:03,00:32:03,BR (Brazil)
Stephania,2021-10-09 00:16:16,00:25:20,Autoplayed: user action: User_Interaction; ,On My Block: Temporada 4: Capítulo trinta e quatro (Episódio 6),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:25:20,00:25:20,BR (Brazil)
Stephania,2021-10-06 01:04:45,00:00:09,,On My Block: Temporada 4: Capítulo trinta e quatro (Episódio 6),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:00:14,Not latest view,BR (Brazil)
Stephania,2021-10-06 00:36:54,00:27:48,,On My Block: Temporada 4: Capítulo trinta e três (Episódio 5),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:27:53,00:27:53,BR (Brazil)
Stephania,2021-10-06 00:09:18,00:27:34,,On My Block: Temporada 4: Capítulo trinta e dois (Episódio 4),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:27:39,00:27:39,BR (Brazil)
Stephania,2021-10-05 23:40:12,00:29:01,,On My Block: Temporada 4: Capítulo trinta e um (Episódio 3),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:29:07,00:29:07,BR (Brazil)
Stephania,2021-10-05 21:36:49,00:28:47,Autoplayed: user action: None; ,On My Block: Temporada 4: Capítulo trinta (Episódio 2),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:28:52,00:28:52,BR (Brazil)
Stephania,2021-10-05 20:42:55,00:30:50,,On My Block: Temporada 4: Capítulo vinte e nove (Episódio 1),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:30:50,00:30:50,BR (Brazil)
Stephania,2021-10-05 15:46:23,00:00:02,,On My Block: Temporada 4: Capítulo vinte e nove (Episódio 1),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:00:02,Not latest view,BR (Brazil)
Stephania,2021-10-05 15:43:35,00:02:45,,Temporada 3 (Resumo): On My Block,RECAP,LG LG 2017 MStar M2R Standard DTV Smart TV,00:02:45,00:02:45,BR (Brazil)
Stephania,2021-10-05 14:47:56,00:48:50,,O Homem das Castanhas: Temporada 1: Episódio 6 (Episódio 6),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:49:20,00:49:20,BR (Brazil)
Stephania,2021-10-05 01:35:36,00:00:06,,O Homem das Castanhas: Temporada 1: Episódio 6 (Episódio 6),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:00:11,Not latest view,BR (Brazil)
Stephania,2021-10-05 00:48:40,00:46:51,Autoplayed: user action: User_Interaction; ,O Homem das Castanhas: Temporada 1: Episódio 5 (Episódio 5),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:52:31,00:52:31,BR (Brazil)
Stephania,2021-10-04 01:56:23,00:05:10,Autoplayed: user action: User_Interaction; ,O Homem das Castanhas: Temporada 1: Episódio 5 (Episódio 5),,LG LG 2017 MStar M2R Standard DTV Smart TV,00:05:41,Not latest view,BR (Brazil)
